HPSI0816i-keit_3	keit_3	SAMEA104011424
HPSI0216i-xanu_2	xanu_2	SAMEA4447048
HPSI0416i-mefc_3	mefc_3	SAMEA4453891
HPSI0816i-youd_1	youd_1	SAMEA104011299
HPSI0816i-youd_6	youd_6	SAMEA104011448
HPSI1116i-mebq_6	mebq_6	SAMEA104026896
HPSI0616i-aauq_1	aauq_1	SAMEA104130214
HPSI0916i-moyn_4	moyn_4	SAMEA104130574
HPSI1116i-wakr_3	wakr_3	SAMEA104132155
HPSI0516i-raet_6	raet_6	SAMEA104132157
HPSI0516i-raet_1	raet_1	SAMEA104132161
HPSI1016i-livl_5	livl_5	SAMEA104132163
HPSI0516i-vebd_5	vebd_5	SAMEA104132051
HPSI0514i-kooz_1	kooz_1	SAMEA4085267
HPSI0514i-kooz_6	kooz_6	SAMEA4085270
HPSI0514i-tavh_1	tavh_1	SAMEA4085317
HPSI0514i-tavh_6	tavh_6	SAMEA4085320
HPSI0714i-meet_3	meet_3	SAMEA4085328
HPSI0514i-qajt_1	qajt_1	SAMEA4085278
HPSI0414i-tout_1	tout_1	SAMEA2777398
HPSI0614i-guyj_5	guyj_5	SAMEA3292096
HPSI0414i-rauj_1	rauj_1	SAMEA2733286
HPSI0714i-riya_5	riya_5	SAMEA3340814
HPSI0714i-pirs_3	pirs_3	SAMEA3340810
HPSI0616i-gayk_4	gayk_4	SAMEA103884206
HPSI0416i-xutl_5	xutl_5	SAMEA4562181
HPSI0616i-eomr_2	eomr_2	SAMEA103884566
